Column,Neotoma,Required,Overwrite,Rowwise,Notes
depths,ndb.analysisunits.depth,,,1,
variablename,ndb.data.variableid,,,1,
element,ndb.variableelements.elementtypeid,,,1,
value,ndb.data.value,,,1,
ChronNumber,,,,0,
Age,ndb.sampleages.age,,,1,
SiteName,ndb.sites.sitename,,,0,
LongEast,ndb.sites.longitudeeast,,,0,
LongWest,ndb.sites.longitudewest,,,0,
LatNorth,ndb.sites.latitudenorth,,,0,
LatSouth,ndb.sites.latitudesouth,,,0,
Altitude,ndb.sites.altitude,,,0,
Area,ndb.sites.area,,,0,
Country,ndb.geopoliticalunits.geopoliticalid,,,0,double check these fields
State,ndb.geopoliticalunits.geopoliticalid,,,0,double check these fields
County,ndb.geopoliticalunits.geopoliticalid,,,0,double check these fields
SiteDescription,ndb.sites.sitedescription,,,0,
SiteNotes,ndb.sites.notes,,,0,
param_Maximum.depth..m.,,,,0,
Handle,ndb.collectionunits.handle,,,0,
CollectionName,ndb.collectionunits.collunitname,,,0,
CollectionType,ndb.collectionunits.colltypeid,,,0,
CollectionDevice,ndb.collectionunits.colldevice,,,0,
CollectionDate,ndb.collectionunits.colldate,,,0,
CUNotes,ndb.collectionunits.notes,,,0,
DepositionalEnvironment,ndb.collectionunits.depenvtid,,,0,
WaterDepth,ndb.collectionunits.waterdepth,,,0,
Location,ndb.collectionunits.location,,,0,
GPSLat,ndb.collectionunits.gpslatitude,,,0,
GPSLong,ndb.collectionunits.gpslongitude,,,0,
GPSError,ndb.collectionunits.gpserror,,,0,
GPSAltitude,ndb.collectionunits.gpsaltitude,,,0,
Substrate,ndb.collectionunits.substrateid,,,0,
SlopeAngle,ndb.collectionunits.slopeangle,,,0,
SlopeAspect,ndb.collectionunits.slopeaspect,,,0,
Collectors,,,,0,
Collectors_ID,ndb.collectors.collectorid,,,0,
Collectors_Names,,,,0,
InternalContactID,,,,0,
NeotomaContactID,ndb.contacts.contactid,,,0,
NeotomaAliasID,ndb.contacts.contactid,,,0,
FullContactName,ndb.contacts.contactname,,,0,
ShortContactName,,,,0,
FamilyName,ndb.contacts.familyname,,,0,
GivenNames,ndb.contacts.givennames,,,0,
LeadingInitials,ndb.contacts.leadinginitials,,,0,
ContactTitle,ndb.contacts.title,,,0,
Status,,,,0,
Address,ndb.contacts.address,,,0,
Email,ndb.contacts.email,,,0,
Telephone,ndb.contacts.phone,,,0,
URL,ndb.contacts.url,,,0,
Fax,ndb.contacts.fax,,,0,
SampleID,,,,0,
AnalysisUnitID,,,,0,
Investigators_geochron,,,,0,
Method,ndb.geochronology.geochrontypeid,,,0,
AgeUnits_Sample,ndb.chroncontrols.agetypeid,,,0,
Depth,ndb.chroncontrols.depth,,,0,
Thickness,ndb.chroncontrols.thickness,,,0,
LabNumber,ndb.geochronology.labnumber,,,0,
SampleAge,ndb.chroncontrols.age,,,0,
ErrorOlder,ndb.geochronology.errorolder,,,0,
ErrorYounger,ndb.geochronology.erroryounger,,,0,
Sigma,,,,0,
StdDev,,,,0,
GreaterThan,,,,0,
MaterialDated,ndb.geochronology.materialdated,,,0,
SampleNotes,ndb.geochronology.notes,,,0,
PublicationsText,,,,0,
PublicationIDs,,,,0,
Investigators_geochron_neoID,ndb.chronologies.contactid,,,0,??
Investigators_geochron_Name,,,,0,
PublicationID,,,,0,
PrimaryPub,,,,0,
PublicationType,ndb.publications.pubtypeid,,,0,
NeotomaID_pub,ndb.publications.publicationid,,,0,
DOI_pub,ndb.publications.doi,,,0,
PublicationYear,ndb.publications.year,,,0,
Citation,ndb.publications.citation,,,0,
Title,ndb.publications.articletitle,,,0,
Journal,ndb.publications.journal,,,0,
Volume,ndb.publications.volume,,,0,
Pages,ndb.publications.pages,,,0,
PublicationID_Author,,,,0,
ContactID,,,,0,
LastName,,,,0,
Initials,,,,0,
authorIDs,ndb.publicationauthors.contactid,,,0,
authorNames,,,,0,
Processors,ndb.dataprocessors.contactid,,,0,
Investigators,ndb.datasetpis.contactid,,,0,
Processors_Names,,,,0,
Investigators_Names,,,,0,
DatasetType,ndb.datasets.datasttypeid,,,0,
Name,ndb.datasets.datasetname,,,0,
AgeModelID,,,,0,
ChronologyName,ndb.chronologies.chronologyname,,,0,
AgeUnits,ndb.chronologies.agetypeid,,,0,
Default,ndb.chronologies.isdefault,,,0,
DatePrepared,ndb.chronologies.dateprepared,,,0,
Model,ndb.chronologies.agemodel,,,0,
AgeBoundOlder,ndb.chronologies.ageboundolder,,,0,
AgeBoundYounger,ndb.chronologies.ageboundyounger,,,0,
AgeModelNotes,ndb.chronologies.notes,,,0,
PreparersText,,,,0,
PreparersContactID,ndb.chronologies.contactid,,,0,